Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product	Accession-2	Names	Object ID	Regulation - genes directly activated by gene	Accession-1	Regulation - genes directly inhibited by gene	Accession-1	GO terms (biological process)	GO terms (cellular component)	GO terms (molecular function)	Transcription Units
ydjI	b1773	1856933	1857769	L-<i>glycero</i>-L-galacto-octuluronate-1-phosphate aldolase	ECK1771	ydjI // b1773 // ECK1771	G6960		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	carbohydrate metabolic process // protein homotetramerization	cytosol	tagatose-bisphosphate aldolase activity // identical protein binding // aldehyde-lyase activity // zinc ion binding	ydjLKJIHG
kdpE	b0694	721056	721733	KdpE-Phosphorylated // DNA-binding transcriptional activator KdpE	ECK0682	kdpE // b0694 // ECK0682	EG10517	kdpF // kdpC // kdpB // kdpA	b4513 // b0696 // b0697 // b0698	rsd // rmf	b3995 // b0953	positive regulation of DNA-templated transcription // phosphorelay signal transduction system // regulation of DNA-templated transcription	protein-DNA complex // cytoplasm // cytosol	transcription cis-regulatory region binding // phosphorelay response regulator activity // DNA binding // DNA-binding transcription factor activity // protein homodimerization activity // DNA-binding transcription activator activity // protein binding // cis-regulatory region sequence-specific DNA binding	kdpDE
ldtB	b0819	854824	855744	L,D-transpeptidase LdtB	ECK0809	ldtB // ybiS // b0819 // ECK0809	G6422		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	peptidoglycan metabolic process // cell wall organization // peptidoglycan biosynthetic process // regulation of cell shape // peptidoglycan-protein cross-linking	extracellular region // periplasmic space // outer membrane-bounded periplasmic space	hydrolase activity // transferase activity // glycosyltransferase activity // carboxypeptidase activity // peptidoglycan L,D-transpeptidase activity	ldtB
panB	b0134	148807	149601	3-methyl-2-oxobutanoate hydroxymethyltransferase	ECK0133	panB // b0134 // ECK0133	EG11675		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	pantothenate biosynthetic process	membrane // cytoplasm // cytosol	metal ion binding // transferase activity // catalytic activity // identical protein binding // magnesium ion binding // 3-methyl-2-oxobutanoate hydroxymethyltransferase activity	panBC
yehI	b2118	2200279	2203911	DUF4132 domain-containing protein YehI	ECK2109	yehI // b2118 // ECK2109	EG11995		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		plasma membrane		yehHI
polA	b3863	4046966	4049752	DNA polymerase I	ECK3855	polA // resA // b3863 // ECK3855	EG10746		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	double-strand break repair via alternative nonhomologous end joining // double-strand break repair // nucleobase-containing compound metabolic process // DNA biosynthetic process // DNA damage response // base-excision repair // DNA-templated DNA replication // DNA repair // DNA replication	cytosol // cytoplasm	hydrolase activity, acting on ester bonds // hydrolase activity // nucleotidyltransferase activity // transferase activity // exonuclease activity // nuclease activity // catalytic activity // nucleic acid binding // 5'-3' exonuclease activity // 3'-5' exonuclease activity // DNA binding // DNA-directed DNA polymerase activity	polA
paaZ	b1387	1451597	1453642	fused 3-oxo-5,6-dehydrosuberyl-CoA semialdehyde dehydrogenase and oxepin-CoA hydrolase	ECK1384	paaZ // ydbN // maoC // b1387 // ECK1384	G6708		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	metabolic process // phenylacetate catabolic process	cytosol	oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor // lyase activity // catalytic activity // hydrolase activity, acting on acid carbon-carbon bonds, in ketonic substances // hydrolase activity // oxidoreductase activity, acting on CH or CH2 groups, NAD or NADP as acceptor // oxidoreductase activity // identical protein binding // ether hydrolase activity // enoyl-CoA hydratase activity	paaZ
fsr	b0479	503476	504696	fosmidomycin efflux pump	ECK0473	fsr // b0479 // ECK0473	G6256		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	transmembrane transport // DNA damage response // response to antibiotic	membrane // plasma membrane	transmembrane transporter activity	fsr
yiiF	b3890	4079751	4079969	protein YiiF	ECK3883	yiiF // b3890 // ECK3883	EG11855		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	regulation of DNA-templated transcription	cytosol	sequence-specific DNA binding	yiiF
panF	b3258	3407607	3409058	pantothenate:Na+ symporter	ECK3245	panF // b3258 // ECK3245	EG10685		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	nitrogen compound transport // carboxylic acid transport // sodium ion export across plasma membrane // transmembrane transport // sodium ion transport // monoatomic ion transport // pantothenate transmembrane transport	membrane // plasma membrane	transmembrane transporter activity // sodium ion transmembrane transporter activity // pantothenate transmembrane transporter activity // symporter activity	yhdT-panF-prmA
ydfK	b1544	1633072	1633305	Qin prophage; cold shock protein YdfK	ECK1537	ydfK // b1544 // ECK1537	G6818		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	response to cold			yntF-ydfK
xylF	b3566	3731131	3732123	xylose ABC transporter periplasmic binding protein	ECK3555	xylF // xylT // b3566 // ECK3555	EG20252		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	organic substance transport // D-xylose metabolic process // D-ribose transmembrane transport // D-xylose transmembrane transport	membrane // ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing // periplasmic space // outer membrane-bounded periplasmic space	carbohydrate binding // monosaccharide binding	xylFGHR
slyA	b1642	1720390	1720824	DNA-binding transcriptional dual regulator SlyA	ECK1638	slyA // b1642 // ECK1638	G6882	rmf // rsd // pagP // leuO // gspO // gspM // gspL // gspK // gspJ // gspI // gspH // gspG // gspF // gspE // gspD // gspC // slyA // mdtM // yjiN // paaK // paaJ // paaI // paaH // paaG // paaF // paaE // paaD // paaC // paaB // paaA // elfA // casA // casB // casC // casD // casE // cas1 // cas2 // hlyE	b0953 // b3995 // b0622 // b0076 // b3335 // b3334 // b3333 // b3332 // b3331 // b3330 // b3329 // b3328 // b3327 // b3326 // b3325 // b3324 // b1642 // b4337 // b4336 // b1398 // b1397 // b1396 // b1395 // b1394 // b1393 // b1392 // b1391 // b1390 // b1389 // b1388 // b0938 // b2760 // b2759 // b2758 // b2757 // b2756 // b2755 // b2754 // b1182	sgcX // sgcB // sgcC // sgcQ // sgcA // sgcE // sgcR // fecR // fecI	b4305 // b4565 // b4304 // b4303 // b4302 // b4301 // b4300 // b4292 // b4293	response to stress // positive regulation of DNA-templated transcription // regulation of DNA-templated transcription // positive regulation of DNA-templated transcription initiation // negative regulation of DNA-templated transcription initiation	cytosol	DNA-binding transcription factor activity // DNA binding	slyA
mrdA	b0635	666316	668217	peptidoglycan DD-transpeptidase MrdA	ECK0628	mrdA // pbpA // b0635 // ECK0628	EG10606		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	proteolysis // response to antibiotic // regulation of cell shape // cell wall organization // peptidoglycan biosynthetic process	membrane // outer membrane-bounded periplasmic space // plasma membrane	peptidoglycan L,D-transpeptidase activity // hydrolase activity // peptidase activity // carboxypeptidase activity // protein binding // serine-type D-Ala-D-Ala carboxypeptidase activity // penicillin binding	rsfS-rlmH-mrdAB-rlpA
folC	b2315	2431674	2432942	bifunctional folylpolyglutamate synthetase / dihydrofolate synthetase	ECK2309	folC // dedC // b2315 // ECK2309	EG10327		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	tetrahydrofolate biosynthetic process // biosynthetic process // folic acid-containing compound biosynthetic process // one-carbon metabolic process // tetrahydrofolylpolyglutamate biosynthetic process // dihydrofolate biosynthetic process // 10-formyltetrahydrofolate biosynthetic process // folic acid biosynthetic process	cytosol // cytoplasm	acid-amino acid ligase activity // guanosine tetraphosphate binding // metal ion binding // ligase activity // ATP binding // nucleotide binding // dihydrofolate synthase activity // tetrahydrofolylpolyglutamate synthase activity	folC-dedD
yicN	b3663	3841950	3842402	DUF1198 domain-containing protein YicN	ECK3654	yicN // b3663 // ECK3654	EG11690		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		membrane		yicN
hda	b2496	2618075	2618776	inibitor of reinitiation of DNA replication	ECK2492	hda // idaB // yfgE // b2496 // ECK2492	G7313		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	regulation of DNA-templated DNA replication initiation // DNA replication initiation // negative regulation of DNA replication // DNA replication // negative regulation of DNA-templated DNA replication initiation	replication inhibiting complex // Hda-beta clamp complex // plasma membrane // cytosol // membrane	DNA replication origin binding // identical protein binding // protein binding // nucleotide binding // ADP binding	hda
uxaA	b3091	3241827	3243314	D-altronate dehydratase	ECK3082	uxaA // ygjW // b3091 // ECK3082	EG12734		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	D-galacturonate catabolic process	cytosol	lyase activity // ferrous iron binding // altronate dehydratase activity	uxaCA // uxaCA
cydH	b4602	1737456	1737545	cytochrome <i>bd</i>-I accessory subunit CydH	ECK4411	cydH // ynhF // cydY // b4602 // ECK4411	G0-10594		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	cellular response to hypoxia	plasma membrane // cytochrome complex // membrane	protein binding	
yjiH	b4330	4559997	4560680	uncharacterized protein YjiH	ECK4321	yjiH // b4330 // ECK4321	G7927		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		membrane // plasma membrane		yjiHG-iadA
folM	b1606	1680976	1681698	dihydromonapterin reductase	ECK1601	folM // ydgB // b1606 // ECK1601	G6862		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	pteridine-containing compound biosynthetic process // protein homotetramerization // one-carbon metabolic process // folic acid biosynthetic process // 10-formyltetrahydrofolate biosynthetic process	cytosol	identical protein binding // oxidoreductase activity // dihydrofolate reductase activity // dihydromonapterin reductase activity	ydgI-folM
xisR	b1346	1413237	1413452	Rac prophage; excisionase	ECK1343	xisR // ydaQ // b1346 // ECK1343	G6677		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	provirus excision		sequence-specific double-stranded DNA binding	recET-ralR-rcbA-xisR-intR
xylH	b3568	3733720	3734901	xylose ABC transporter membrane subunit	ECK3557	xylH // b3568 // ECK3557	EG12276		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	organic substance transport // D-xylose transmembrane transport // transmembrane transport // D-xylose metabolic process // D-ribose transmembrane transport	ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing // membrane // ATP-binding cassette (ABC) transporter complex // plasma membrane	transmembrane transporter activity	xylFGHR
gltF	b3214	3361176	3361940	periplasmic protein GltF	ECK3204	gltF // ossB // b3214 // ECK3204	EG11514		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		plasma membrane // membrane // outer membrane-bounded periplasmic space		gltBDF // gltF // gltBDF
lpoA	b3147	3293400	3295436	outer membrane lipoprotein - activator of MrcA activity	ECK3135	lpoA // yraM // b3147 // ECK3135	G7642		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	regulation of cell shape // peptidoglycan biosynthetic process	periplasmic space // membrane // periplasmic side of cell outer membrane // cell outer membrane	hydrolase activity, hydrolyzing O-glycosyl compounds // enzyme regulator activity // enzyme binding // protein binding	yraM
pabC	b1096	1153300	1154109	aminodeoxychorismate lyase	ECK1082	pabC // b1096 // ECK1082	EG11493		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	carboxylic acid biosynthetic process // organonitrogen compound biosynthetic process // tetrahydrofolate biosynthetic process // folic acid biosynthetic process // para-aminobenzoic acid biosynthetic process	cytosol	lyase activity // catalytic activity // protein homodimerization activity // pyridoxal phosphate binding // 4-amino-4-deoxychorismate lyase activity	pabC-mltG-tmk-holB-ycfH
mliC	b1639	1718066	1718395	inhibitor of c-type lysozyme, putative lipoprotein	ECK1635	mliC // ydhA // b1639 // ECK1635	EG11488		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		membrane // periplasmic side of cell outer membrane // cell outer membrane	protein binding // lysozyme inhibitor activity	mliC
dnaX	b0470	492092	494023	DNA polymerase III subunit &gamma; // DNA polymerase III subunit &tau;	ECK0464	dnaX // dnaZ // b0470 // ECK0464	EG10245		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	DNA repair // DNA biosynthetic process // DNA-templated DNA replication // DNA replication	replisome // DNA polymerase III, clamp loader complex // cytosol // DNA polymerase III complex	DNA polymerase processivity factor activity // ribonucleoside triphosphate phosphatase activity // DNA clamp loader activity // ATP hydrolysis activity // identical protein binding // protein binding // DNA binding // nucleotidyltransferase activity // transferase activity // ATP binding // DNA-directed DNA polymerase activity // nucleotide binding	dnaX
